613548,6030608,91.3,83.263
ram_used,ram_ava,cpu,temp
614572,6030608,91.9,83.263
ram_used,ram_ava,cpu,temp
614572,6031112,91.4,83.263
ram_used,ram_ava,cpu,temp
614320,6031364,91.8,83.263
ram_used,ram_ava,cpu,temp
614780,6030888,91.4,83.75
ram_used,ram_ava,cpu,temp
614016,6031140,92.9,82.289
ram_used,ram_ava,cpu,temp
614016,6031140,92.0,83.263
ram_used,ram_ava,cpu,temp
614112,6031052,91.6,82.776
ram_used,ram_ava,cpu,temp
613536,6032132,91.5,83.75
ram_used,ram_ava,cpu,temp
613772,6031896,91.7,83.75
ram_used,ram_ava,cpu,temp
613512,6031896,91.9,83.75
ram_used,ram_ava,cpu,temp
613756,6031140,91.6,83.263
ram_used,ram_ava,cpu,temp
613756,6031140,91.7,83.75
ram_used,ram_ava,cpu,temp
614500,6029376,91.4,83.263
ram_used,ram_ava,cpu,temp
615260,6029124,91.2,82.776
ram_used,ram_ava,cpu,temp
614356,6030012,91.8,82.289
ram_used,ram_ava,cpu,temp
614620,6030264,91.8,83.75
ram_used,ram_ava,cpu,temp
614620,6030264,91.4,83.75
ram_used,ram_ava,cpu,temp
614752,6030132,90.8,84.237
ram_used,ram_ava,cpu,temp
614820,6030576,90.9,82.289
ram_used,ram_ava,cpu,temp
614748,6030384,92.3,83.263
ram_used,ram_ava,cpu,temp
614740,6030384,91.6,84.237
ram_used,ram_ava,cpu,temp
614732,6029880,91.6,83.263
ram_used,ram_ava,cpu,temp
613740,6030872,91.6,84.237
ram_used,ram_ava,cpu,temp
613976,6030636,91.8,82.776
ram_used,ram_ava,cpu,temp
613496,6031628,88.2,82.776
ram_used,ram_ava,cpu,temp
613996,6031128,91.6,83.75
ram_used,ram_ava,cpu,temp
614212,6030388,91.3,83.75
ram_used,ram_ava,cpu,temp
614048,6029528,91.6,82.289
ram_used,ram_ava,cpu,temp
614444,6029132,91.2,83.263
ram_used,ram_ava,cpu,temp
613948,6030124,90.1,82.776
ram_used,ram_ava,cpu,temp
614544,6030292,90.8,84.237
ram_used,ram_ava,cpu,temp
614428,6029896,91.2,82.776
ram_used,ram_ava,cpu,temp
614432,6029896,91.6,83.75
ram_used,ram_ava,cpu,temp
614536,6029796,92.1,83.75
ram_used,ram_ava,cpu,temp
614796,6030048,92.3,83.75
ram_used,ram_ava,cpu,temp
614200,6030644,91.5,82.776
ram_used,ram_ava,cpu,temp
614452,6030392,91.9,83.263
ram_used,ram_ava,cpu,temp
614280,6030052,92.4,82.289
ram_used,ram_ava,cpu,temp
614176,6030156,92.0,83.75
ram_used,ram_ava,cpu,temp
613916,6030408,91.4,83.263
ram_used,ram_ava,cpu,temp
614428,6030408,91.9,82.776
ram_used,ram_ava,cpu,temp
614176,6030396,91.4,83.75
ram_used,ram_ava,cpu,temp
615144,6027892,91.4,83.75
ram_used,ram_ava,cpu,temp
615496,6027540,92.3,83.75
ram_used,ram_ava,cpu,temp
615140,6027896,91.6,82.776
ram_used,ram_ava,cpu,temp
602316,6042248,92.2,83.75
ram_used,ram_ava,cpu,temp
603552,6041012,92.5,83.263
ram_used,ram_ava,cpu,temp
603040,6041012,92.1,82.776
ram_used,ram_ava,cpu,temp
603800,6040240,90.5,83.263
ram_used,ram_ava,cpu,temp
604284,6039756,91.8,84.724
ram_used,ram_ava,cpu,temp
605548,6039004,92.0,83.75
ram_used,ram_ava,cpu,temp
605540,6039004,92.3,83.263
ram_used,ram_ava,cpu,temp
604892,6039388,91.7,83.75
ram_used,ram_ava,cpu,temp
604008,6039760,91.7,82.776
ram_used,ram_ava,cpu,temp
605516,6038252,91.8,83.263
ram_used,ram_ava,cpu,temp
604524,6039244,92.3,82.776
ram_used,ram_ava,cpu,temp
604736,6038004,92.1,83.263
ram_used,ram_ava,cpu,temp
606500,6036744,91.3,83.263
ram_used,ram_ava,cpu,temp
606240,6036492,92.1,82.776
ram_used,ram_ava,cpu,temp
606256,6037500,91.8,83.75
ram_used,ram_ava,cpu,temp
606004,6037752,91.8,84.237
ram_used,ram_ava,cpu,temp
606768,6037500,92.3,83.75
ram_used,ram_ava,cpu,temp
606784,6037484,91.4,83.263
ram_used,ram_ava,cpu,temp
607020,6037248,92.3,83.263
ram_used,ram_ava,cpu,temp
606492,6036996,91.3,81.802
ram_used,ram_ava,cpu,temp
606464,6037024,91.9,83.263
ram_used,ram_ava,cpu,temp
606560,6036920,91.7,83.263
ram_used,ram_ava,cpu,temp
606544,6037448,91.5,83.263
ram_used,ram_ava,cpu,temp
606464,6037528,92.3,83.263
ram_used,ram_ava,cpu,temp
606464,6037024,91.6,84.724
ram_used,ram_ava,cpu,temp
606456,6037024,91.4,83.75
ram_used,ram_ava,cpu,temp
606684,6035764,91.7,84.237
ram_used,ram_ava,cpu,temp
606944,6036016,92.3,82.776
ram_used,ram_ava,cpu,temp
606944,6036016,92.4,82.776
ram_used,ram_ava,cpu,temp
606560,6037424,91.8,82.776
ram_used,ram_ava,cpu,temp
606176,6036772,90.5,83.75
ram_used,ram_ava,cpu,temp
605664,6037024,90.4,83.75
ram_used,ram_ava,cpu,temp
606776,6035912,91.8,82.776
ram_used,ram_ava,cpu,temp
610196,6032992,91.4,83.263
ram_used,ram_ava,cpu,temp
629096,6014092,91.6,83.75
ram_used,ram_ava,cpu,temp
629348,6013840,90.4,83.263
ram_used,ram_ava,cpu,temp
602616,6040060,91.7,83.75
ram_used,ram_ava,cpu,temp
604128,6038548,92.1,83.75
ram_used,ram_ava,cpu,temp
604980,6037688,91.4,84.237
ram_used,ram_ava,cpu,temp
605388,6037792,90.9,84.237
ram_used,ram_ava,cpu,temp
603876,6039304,91.9,82.289
ram_used,ram_ava,cpu,temp
605112,6036784,90.9,83.75
ram_used,ram_ava,cpu,temp
606112,6035272,88.4,83.263
ram_used,ram_ava,cpu,temp
605120,6036264,92.4,83.75
ram_used,ram_ava,cpu,temp
605864,6036532,92.2,82.776
ram_used,ram_ava,cpu,temp
605368,6037540,92.1,82.776
ram_used,ram_ava,cpu,temp
605368,6037540,91.7,82.776
ram_used,ram_ava,cpu,temp
604708,6037672,91.8,82.776
ram_used,ram_ava,cpu,temp
604708,6037672,91.6,83.75
ram_used,ram_ava,cpu,temp
605108,6037272,92.3,83.263
ram_used,ram_ava,cpu,temp
605220,6037688,90.9,83.75
ram_used,ram_ava,cpu,temp
605108,6037792,91.8,83.75
ram_used,ram_ava,cpu,temp
603836,6038800,90.5,83.75
ram_used,ram_ava,cpu,temp
605092,6037036,91.6,82.776
ram_used,ram_ava,cpu,temp
605340,6036784,91.5,83.263
ram_used,ram_ava,cpu,temp
605084,6037036,91.4,83.263
ram_used,ram_ava,cpu,temp
605852,6036784,91.3,82.776
ram_used,ram_ava,cpu,temp
606584,6035020,90.8,84.724
ram_used,ram_ava,cpu,temp
606584,6035020,88.0,82.289
ram_used,ram_ava,cpu,temp
605688,6035404,90.6,82.776
ram_used,ram_ava,cpu,temp
606460,6035656,90.5,83.75
ram_used,ram_ava,cpu,temp
606904,6035212,92.3,83.263
ram_used,ram_ava,cpu,temp
606868,6035760,91.3,83.263
ram_used,ram_ava,cpu,temp
606860,6035760,92.3,83.263
ram_used,ram_ava,cpu,temp
606572,6035272,90.4,83.75
ram_used,ram_ava,cpu,temp
606688,6035156,90.8,83.75
ram_used,ram_ava,cpu,temp
606820,6035024,91.4,83.263
ram_used,ram_ava,cpu,temp
606680,6035676,91.7,83.75
ram_used,ram_ava,cpu,temp
606328,6036020,91.0,82.776
ram_used,ram_ava,cpu,temp
606564,6035784,92.2,83.263
ram_used,ram_ava,cpu,temp
606552,6035284,91.6,83.75
ram_used,ram_ava,cpu,temp
606788,6034024,91.4,84.237
ram_used,ram_ava,cpu,temp
606388,6034424,92.2,84.237
ram_used,ram_ava,cpu,temp
606544,6034780,91.8,84.237
ram_used,ram_ava,cpu,temp
607312,6035036,91.6,84.237
ram_used,ram_ava,cpu,temp
606636,6035188,91.8,84.724
ram_used,ram_ava,cpu,temp
607268,6034288,91.6,83.263
ram_used,ram_ava,cpu,temp
606516,6035044,92.4,83.263
ram_used,ram_ava,cpu,temp
607880,6033680,91.6,83.75
ram_used,ram_ava,cpu,temp
607784,6034288,91.6,84.724
ram_used,ram_ava,cpu,temp
607016,6034544,91.5,83.75
ram_used,ram_ava,cpu,temp
610536,6031016,92.2,83.75
ram_used,ram_ava,cpu,temp
611544,6030008,92.4,83.75
ram_used,ram_ava,cpu,temp
613028,6029028,90.7,83.263
ram_used,ram_ava,cpu,temp
614792,6027264,91.1,83.263
ram_used,ram_ava,cpu,temp
613004,6027516,92.3,83.75
ram_used,ram_ava,cpu,temp
613004,6027516,91.6,83.75
ram_used,ram_ava,cpu,temp
613376,6027144,91.1,84.237
ram_used,ram_ava,cpu,temp
615048,6026744,91.1,83.263
ram_used,ram_ava,cpu,temp
615152,6026640,92.2,83.75
ram_used,ram_ava,cpu,temp
614536,6026744,90.0,81.315
ram_used,ram_ava,cpu,temp
614640,6026640,91.6,83.75
ram_used,ram_ava,cpu,temp
614636,6026644,91.5,82.776
ram_used,ram_ava,cpu,temp
615124,6026660,91.0,82.776
ram_used,ram_ava,cpu,temp
615524,6026260,91.4,82.776
ram_used,ram_ava,cpu,temp
614860,6026412,90.7,83.75
ram_used,ram_ava,cpu,temp
614608,6026664,92.4,83.263
ram_used,ram_ava,cpu,temp
614500,6026772,89.4,82.289
ram_used,ram_ava,cpu,temp
613500,6028284,91.6,83.75
ram_used,ram_ava,cpu,temp
613220,6027276,91.6,83.75
ram_used,ram_ava,cpu,temp
613460,6027028,91.8,84.237
ram_used,ram_ava,cpu,temp
613972,6026004,91.1,84.237
ram_used,ram_ava,cpu,temp
614072,6025900,91.1,82.776
ram_used,ram_ava,cpu,temp
